ATARI CD-ROM SUMMARY 10
~DROPS.FIL~
Sound/Sounds:   The atari.archive Sound Index

The sounds in this directory are 8-bit sample files for use with Play,
Beep, Digital Keyclick, and EPlay (located in ../players/).  The sample 
data is in the same format as Mac sample data, so many of these sounds 
may look familiar to Mac users.  Jason Banham <cs89jmb@brunel.ac.uk>
reports that these sounds can be played on Acorn Acrhimedes machines
using a PD program called !DSEdit.

Note: Sample rates are in Hz (samples per second).


Sound File      Rate    Description
intercom.snd    11000   The intercom sound from Star Trek
irabbit.snd     11000   Bugs Bunny: "Toitle shmoitle, I'm the rabbit!"
is_wrong.snd    22000   ???: "Everything you know is wrong!"
janet.arc               Rhythm Nation remixes for Digital Keyclick
jet.snd         22000   A loud flying machine
kaboom.snd      11000   The Martian: "Where's the kaboom? ..."
kickdrum.snd    8000    An electronic kickdrum.
klang.snd       22000?  Something metal being hit.
knightni.snd    11000   Monty Python(Holy Grail):"the knights who say-n-i!"  
kookabur.snd    11000   The call of the Kookaburra.  (It's a bird...)
lamb.snd        22000   A lamb bleating
laugh.snd       22000   A witchy laugh with machine noises in the bkgnd
laughitu.snd    22000   Han Solo: "Laugh it up, fuzzball!"
leaveit2.snd    11000   The "Leave it to Beaver" theme music
letmeout.snd    11000   Guy inside your computer: "Lemme outta here!"
letsrock.snd    15000   From Aliens: "Let's rock!"
look_up.snd     22000   ???: "Look, up in the sky...it's Superman!"
looneytu.snd    11000   Loony Toons closing music
loonytun.snd    22000   Loony Toons opening music
magic.snd       11000   Fairy-waves-magic-wand sound effect
maxhead.snd     8000    Max Headroom: "This is M-M-Max Headroom"
maxheadr.snd    22000   Max Headroom: "Isn't there something better..."
meepmeep.snd    22000   The Road Runner's familiar sound
missile.snd     7500    Some kind of large gun being fired.
money.snd       11000   Dire Straits: "Money for Nothing" (excerpt)
monkey.snd      8000    A monkey: "Eeeep!"
mr_t.snd        22000   Eddie Murphy: [imitating Mr. T]
notajedi.snd    22000   Darth Vader: "...you are not a Jedi yet!"
nyuknyuk.snd    22000   Curly: "Nyuk-nyuk-nyuk-nyuk" <clunk>
ohmygod.snd     11000   Sounds like Mrs. Cleaver: "Oh my God!"
ohprunel.snd    22000   Bugs Bunny: "A-ha-ha-ha.  Oh, Prunella!"
ohshit.snd      11000   ???: "Oh shit."
okie.snd        22000   Bart: "Okie dokie."
peewee.snd      22000   Pee-wee Herman: "Whyncha make me?"
phasers.snd     22000   From a Steve Miller song.
ping.snd        11000   The machine that goes "ping".
pingpong.snd    8000    Sound of a ping pong ball being hit.
pity.snd        22000   Bart's sis: "I don't want your pity."
presbush.snd    11000   President Bush: "Thank you, God bless you..."
presto.snd      8000    Bulwinkle: "Presto!"
r2d2.snd        22000   Boop-bleep-boop-whooo-blip
reagan.snd      11000   Ronald Reagan: "I'm not going to lie..."
ripped.snd      11000   From Monty Python:"...his head's been ripped off..."
risky2.snd      22000   A musical sound bite from Risky Business (?)
rooster.snd     8000    Wake up!
rubyaout.snd    11000   Warner Bros. Mobster: "I'm gonna rub ya out, see..."
sarcasm.snd     22000   From Monty Python: "He used -- sarcasm."
saveme.snd      8000    Daffy Duck: "Quick, quick, save me, pal!"
scifi.snd       8000    Sounds like something from Warner Bros.
scream.snd      8000    Daffy Duck screaming.
sealion.snd     8000    A sea lion barking.
secret.snd      8000    Daffy Duck: "I'll find out his secret..."
sexyhi.snd      11000   A sexy voice: "Hi."
shatter.snd     11000   Glass shattering.
shootyou.snd    11000   Monty Python: "...I'm going to have to shoot you."
sonarpin.snd    22000   A sonar ping.
spacemod.snd    11000   Martian: "The eludium Q-36 explosive space modulator"
splat.snd       11000   Cartoon sound effect (the name says it).
st-ng.snd       8000    "Star Trek: TNG" theme music (excerpt)
stoogei.snd     22000   Three Stooges closing music.
stopit.snd      11000   From Monty Python: "Stop it!"
strength.snd    8000    Bulwinkle: "Ooh.  Don't know my own strength."
su-bach.snd     22000   Opening notes from Tocatta and Fugue in D minor
su-fanf.snd     22000   Opening fanfare from some old flick.
su-russi.snd    22000   Excerpt from Tchaikovsky's Nutcracker Suite
superior.snd    11000   A Dalek: "...we are the superior beings"
surprise.snd    11000   Gomer Pyle: "Surpriiise, surprise, surprise!"
tardis.snd      11000   Dr. Who's Tardis arriving (or departing).
tarzan.snd      8000    Edgar Rice Burroughs' ape man.
taughtyo.snd    22000   Darth Vader: "Obi-Wan has taught you well."
theyrehr.snd    22000   From Poltergeist: "They're here."
thriller.snd    22000   Vincent Price laughing (from MJ's "Thriller")
thunder.snd     22000   Thunder and rain
timetobl.snd    22000   Jane Jetson: "time to blast off for dreamland"
toko.snd        22000?  A sci-fi sound effect of some kind
toot.snd        11000   Party horn toot.
trnsport.snd    11000?  The Enterprise transporter (again)
trumpets.snd    22000   Another Nutcracker Suite Excerpt
trythink.snd    22000   Curly: "I'm tryin' t' think but nothin happens"
tutti.snd       22000   Little Richard (?)
twilight.snd    22000   "The Twilight Zone" theme music (excerpt)
twltzone.snd    22000   A longer excerpt from "The Twilight Zone"
type1.snd       8000    Keypress on a typewriter.
type2.snd       8000    Keypress on another typewriter.
underdog.snd    22000   Narrator:"There's no need to fear, Underdog is here!"
vulcan.snd      8000    Bones: "Are you out of your Vulcan mind?"
waitamin.snd    8000    From Warner Bros.: "Hey, wait a minute."
wattle.snd      11000   The call of the Wattle.  (Another bird.)
ways.snd        22000   From Wargames: "There's ways around that." (sic)
wetmice.snd     11000   Foghorn Leghorn: "Nice girl, but..."
what.snd        11000   Bart: "What are we talking about?"
whatsup.snd     11000   Bugs Bunny: "What's up, Doc?"
where.snd       22000   Bart: "Where's your sense of humor, man?"
whipbird.snd    11000   The call of the Whip Bird.  (Yet another bird.)
whizz.snd       11000   Cartoon sound effect
whosfrst.snd    22000   From the famous Abbott & Costello routine.
why_you.snd     8000    Bugs Bunny (?) goes on a tirade.
wipeout.snd     22000   The beginning of the song.
woo.snd         8000    Daffy Duck: "Wh-wh-whuhooo!"
yabbadab.snd    22000   Fred Flintstone: "Yabba-Dabba Doo!"
yahoo.snd       22000   Daffy Duck cheers.
yeah.snd        8000    Bulwinkle: "Yeah!"
younick.snd     11000   ???:"You all %!#&ing nicked me old beauty." [R rated]
yourang.snd     22000   Lurch: "You rang."
zamfir.snd      11000   Zamfir, master of the Pan flute.
zany_sto.snd    11000   Bugs Bunny: "..who'd ever believe such a zany story?"

============================================================================-
Ssolsdem: A collection of demos of programs distributed by Systems Solutions

dapidemo.tos           DA's picture demo
dtdemo.lzh             DigiTracker demo
kobold.lzh             Kobold - the file copier
layouttc.lzh           DA's layout demo
midispy.lzh            MidiSpy demo (informative, I know :-)
mus_pic.lzh            (PD?). Takes a picture and converts to midi info
musicmon.lzh           ???
quill.lzh              DA again
vecpro.lzh             DA's vector Pro demo
vector.lzh             DA's vector

============================================================================-
Ste:

0index          ???     This Index you're currently loving.
Ste/Mega: a directory for MegaSTe-specific programs
booter.lzh      1       use 16mHz with self booting disks
megaste.lzh     10      Shareware utilties by John townsend for megastes
mhz.lzh         9       Freeware program to change between 8/16 Mhz
speed.lzh       7       Another speed switcher
speed_sw.arc    10      Collection of programs for Mega STe to control speed
wrap_fix.arc    5       Fixes MegaSte/TOS 2.05 screen bug on mono monitors   

 
50play.lzh      37      50kHz STe Pro-Tracker player
armadaisdead.lzh 198    Fractal demo from Aggression
autoexec.lzh    18      Allows to set up various params on boot & play samp
backtrak.lzh    7       Plays .mod files on ste/tt
bdamag1.lzh     733     Excell. demo by Aggression Part1 (get next file also)
bdamag2.lzh     647     Part 2
bf_demo.arc     60      Banafisk demo, pretty neat      
blat.lzh        417     STe falling blocks game with a difference
boingste.arc    421     STE demo by Autralian Guy (nice music)  
coolste.arc     385     By An Cool.  Scrolling Mickey Mouse     
delirs3a.msa    402     Part a of the delirious 3 demo  
delirs3b.msa    387     Part b of above.  You need both parts.  
dips.lzh        3       CPX, lets you change internal dip switches on MSTE
double2.lzh     4       Double vertical screen resol. on Ste (no scrolling)
dtpcdmo2.arc    62      Demo by desktop center  
dtrak111.lzh    35      Plays mods in the backgr. under multitos (pos. MiNt)
dynabust.lzh    342     Game; requires DMA sound & analog joy port.
dynamite.arc    351     Dynamite sound demo for ste/tt
fant_emu.lzh    2       Allows you to run fantasia.arc on Mega Stes     
fantasia.arc    620     Fast 3d graphics and cure samples       
jukebx11.zoo    18      Plays mod & segm in background on Ste / TT
jungle.arc      338     Cool jungle noises and animated Dr. Livingstone 
ms2demo.lzh     122     Mastersound II demo.  STE support.
monster.lzh     3       Display huge virtual screens. 
only_ste.lzh    802     Only ste demo. (Packed with msa, which is included)
pacman_on_Es.lzh 297    Awesome Pac-Man Game. uses all STe features!
sam_seq.lzh     97      Sampled sound sequencer for STe only
scrth.zoo       34      Scrolling Thunder text browser for STe and up. Demo
simmfix.zoo     3       Tweaks MMU to allow 2.5Mb of memory.
skulls.zoo      24      Skulls game with user defined sounds.
sndunex1.msa    317     Sounds of the unexpected demo, part 1.  STE only.
sndunex2.msa    320     Sounds of the unexpected demo, part 2.   Ditto.
soundoff.lzh    329     Click on picture and you'll get related sound   
ste_pw.arc      293     Scrolling text, bouncing letters demo   
stedemo.lzh     253     ???
steplay.lzh     49      Play noisetracker mods in stereo        
stesnd.lzh      7       Gem based STe DMA sample player 
trackste.lzh    25      Noisetracker module player w/ste support.
utopos.lzh      216     Demo of shareware game from Chronicle, req. 1 meg
wd_sines.arc    87      Wyrd Sines! demo .  Mediocre.
yo_ste.arc      98      Automation demo.  Simple, but good.     
 
END OF PART 10
