DEMO LIST 1

*    *    *    *    *    *    *    *    *    *    *    *    *    *    *    *

                         D.B.A. DEMO LIST PART 1

*    *    *    *    *    *    *    *    *    *    *    *    *    *    *    *

TITEL                         SOORT                         DISK                                                        
DIGICOMPOSER (ISTARI)         DEM -/C                       312                                                         
DIRTY 5 CREW SEX SHOW 1       DEM -/C                       011                                                         
DOUBLE DOOZER DEMO (CHAOS)    DEM -/C                       300                                                         
DRAGON'S LAIR DEMO            DEM -/C RIP                   026                                                         
ECSTACY DEMO                  DEM -/C                       098                                                         
ELECTRA DEMO                  DEM -/C                       180                                                         
ELECTRIC CAFE                 DIG -/C                       079                                                         
ELECTRONIC IMAGES SLIDESHOW   DEM -/C                       094                                                         
ENERGY FOR YOU                DEM -/C RIP                   108                                                         
EQUALIZER NEW YEAR DEMO       DEM -/C                       393                                                         
EQUINOX SOUND TRACKER 2.5     DEM -/C                       118                                                         
ERASURE DEMO (H.S)            DIG -/C                       162                                                         
ERDKUGEL                      DEM -/C                       077                                                         
ESION SOUNDTR.XLI ST/STE      DEM -/C TCC                    4                                                          
EUROPEAN DEMOS (OVR)          DEM -/C                       167                                                         
F.C.KNUDDE                    DEM -/C                       047                                                         
FAIR DEMO 1991 (ANIMAL MINE)  DEM -/C                       298                                                         
FARMSONG 1 (DMA)              DEM/ANI -/C                   007                                                         
FARMSONG 2 (DMA)              DEM/ANI -/C                   008                                                         
FASTER THAN LIGHT DEMO        DEM -/C                       007                                                         
FINGERBOB'S NEW YEAR DEMO     DEM -/C                       183                                                         
FISH 'N' CHIPS DEMO (SEWER)   DEM -/C                       177                                                         
FLIPOUT 3D DEMO               DEM/ANI -/C                   154                                                         
FLYING BIRD                   DEM/ANI -/C                   054                                                         
FLYING DISK (CYBERSCAPE)      DEM/ANI -/C                   076                                                         
FMC CONNEXION FULLSHOW        DEM -/C RIP                   098                                                         
FNILL (TNT CREW DEMO)         DEM -/C                       018                                                         
FOR YOUR EYES ONLY SHOW       DEM -/C                       150                                                         
FOREIGN AFFAIR (OLDFIELD)     DIG -/C NPG                    13                                                         
FREESTYLE DEMO (DDC)          DEM -/C                       346                                                         
FRENCH KISS (TUFTY)           DIG -/C RIP                   038                                                         
FRENCH KISS DEMO              DIG -/C                       137                                                         
FRIENDCHIP STOS DEMO          DEM -/C                       218                                                         
FUJIBOINK                     DEM -/C                       070                                                         
FULL METAL JACKET (SAG)       DIG -/C                       231                                                         
FULL SCREEN DEMO (LEV.16)     DEM -/C                       021                                                         
FUN FUN HITMIX (MOV)          DIG -/C                       232                                                         
FUTURE MIND COMPIL. 24        DEM -/C                       239                                                         
FUTURE MIND COMPIL. 26        INTRO'S -/C                   355                                                         
FUZION MUSIC SYSTEM           DEM -/C RIP                   069                                                         
FUZION SOUNDTRACKERS DISK     DEM -/C                       190                                                         
GALTAN 6 DEMO                 DEM -/C                       105                                                         
GARFIELD SL.SHOW              DEM -/C                       354                                                         
GARFIELD SLIDE SHOW           PIC -/C                       077                                                         
GATEWAY TO HEXENLAND          DEM -/C                       299                                                         
GENIUS DEMO ( OXYGENE CREW )  DEM -/C                       350                                                         
GFA RAYTRACE DEMO             ANI -/C                       336                                                         
GFA RAYTRACE DEMO 1           ANI -/C                       337                                                         
GFA RAYTRACE DEMO 3           DEM/ANI -/C                   069                                                         
GHOSTBUSTERS DEMO             DIG -/C RIP                   067                                                         
GHOSTBUSTERS SLIDE SHOW       DEM -/C                       042                                                         
GIGABYTE SHOW 1               DEM -/C                       024                                                         
GIRL SHOW 2 (JAMES BOND)      DEM -/C                       254                                                         
GIRL SHOW 4                   PIC -/C                       183                                                         
GIZMO DEMO (POLTERGEIST)      DEM -/C                       184                                                         
GOD'S NEW YEAR '92 COMPIL     DEM -/C                       367                                                         
GOGO DEMO                     ANI M/-                       113                                                         
GOLDEN GIRLS SHOW             DEM M/-                       009                                                         
GREENTHING SL.SHOW            DEM -/C                       354                                                         
HACKABONDS DEMO (T.V.I.)      DEM -/C                       159                                                         
HACKBEAR'S DEMO MENU 1        DEM -/C                       -                                                           
HACKBEAR'S DEMO MENU 2        DEM -/C                       -                                                           
HACKBEAR'S DEMO MENU 3        DEM -/C                       -                                                           
HEADBANGER (RAM KILLER)       DEM -/C                       097                                                         
HEAGAR DER SCRECKLICHE        DEM -/C 2D                    330                                                         
HEMOSOUND 2 DEMO              DEM -/C                       108                                                         
HIGH VOLTAGE DEMO             DEM -/C                       062                                                         
HOBY ONE DEMO                 DEM -/C                       163                                                         
HOT BABES SLIDESHOW (SPX)     PIC -/C RIP                   102                                                         
HOT GIRLS                     PIC -/C                       037                                                         
HOT TEMPTRESSES SL.SHOW       PIC -/C                       109                                                         
HOT TEMPTRESSES SL.SHOW 2     DEM -/C                       182                                                         
HOTLINE SOUND DEMO            DEM -/C                       157                                                         
HOTLINE SOUNDDEMO 2           DEM -/C                       294                                                         
HOUSE COMPIL 2                DIG -/C                       194                                                         
HOW LONG IS YOUR DONG DEMO    DEM -/C                       310                                                         
I.C.E. CRAP DISK 1            DEM -/C                       252                                                         
ICG FINAL PIC.SHOW            DEM -/C                       022                                                         
ILLONA PORNO SLIDE SHOW       DEM -/C                       051                                                         
ILLUMINATION 1 (OFFBEAT)      DIG -/C                       284                                                         
ILLUMINATION 2 (OFFBEAT)      DIG -/C                       285                                                         
IMAGINATION DEMO (DYNAMIC DUO)DEM -/C                       376                                                         
IMPACT MEGASOUND DEMO         DEM -/C                       370                                                         
IMPACT SOUND DEMO             DEM -/C                       192                                                         
IMPACT SOUNDSHIP MUSIC 3      DEM -/C                       371                                                         
INSIGNIA TRISOUND SEQUENCER   DEM -/C                       312                                                         
INVISIBLE MAN (PERSISTENCE)   DIG -/C 2D                    267                                                         
INXS "NEED YOU TONIGHT"       DIG -/C                       044                                                         
IRON MAIDEN DEMO              DIG/ANI -/C                   209                                                         
IRON MAIDEN DEMO (H.S)        DIG -/C                       068                                                         
JAN/SYLVIA IN BAD (DUTCH)     DIG -/C                       066                                                         
JMP DEMO'S                    DEM -/C                       312                                                         
JO DEMO (8 DIGIS)             DIG -/C                       033                                                         
JUGGLER                       ANI -/C                       115                                                         
JUMPBALL                      DEM/ANI -/C                   055                                                         
JUNK DEMO (TCB)               DEM -/C                       021                                                         
JUST BUGGIN' MEGADEMO (ACF)   DEM -/C                       390                                                         
K.L.F. SAMPLE DEMO            DIG -/C                       247                                                         
KATAKIS SOUND DEMO            DEM -/C NPG                    15                                                         
KIDNEY BEAN MEGADEMO          DEM -/C                       353                                                         
KINKY BOOTS (POV) NOT 100%    DIG -/C                       381                                                         
KISS DEMO                     DEM/ANI -/C                   055                                                         
LASERDEMO V.1.0               DEM -/C                       031                                                         
LE CHIK SLIDESHOW             DEM -/C                       253                                                         
LE JOLI PETIT MATIN           DEM -/C                       356                                                         
LIFE'S A BITCH DEMO           DEM -/C                       128                                                         
LIGHTNING DEMO (PENDRAGONS)   DEM -/C                       296                                                         
LIGHTNINGS CD " C "           INTROS -/C                    305                                                         
LITTLE MUSIC DEMO (I.N.)      DEM -/C                       288                                                         
LOVE DISK                     ANI -/C                       152                                                         
LOVE IS A SHIELD              DIG -/C                       113                                                         
LOVELY LADIES                 PIC -/C                       341                                                         
LOVESPY (TNT CREW DEMO 4)     DEM -/C                       019                                                         
LYNX DEMO                     DEM -/C                       084                                                         
LYNX DEMO 2                   DEM -/C                       131                                                         
MAD MAX MUSIC PLAYER 1.0      DEM -/C                       249                                                         
MAD MIX 88 (DMA)              DIG -/C                       230                                                         
MAD VISION COMPIL 03          INTROS -/C                    266                                                         
MAD VISION COMPIL 04          INTROS -/C                    289                                                         
MARILYN MONROE DEMO           DEM -/C RIP                   026                                                         
MASSIVE ATTACK (MAD VISION)   DEM -/C                       377                                                         
MASTERFUL DEMO (BITCHIN BOYS) DEM -/C                       401                                                         
MATT'S MOOD (REMIX)           DIG -/C                       107                                                         
MCA PORNO DEMO                ANI -/C                       035                                                         
MCA PORNO DEMO 2              ANI -/C                       050                                                         
MEGA DEMO (MEGA CREW)         DEM -/C                       086                                                         
MEGA FUN DEMO                 DEM -/C NPG                    07                                                         
MEGA MUSIX DEMO (THI)         DEM -/C                       210                                                         
MEGA RIPPER 1.0 (FUZION)      RIPPER NPG                     14                                                         
MEGA X DEMO                   ANI -/C                       023                                                         
MEGA X DEMO 2                 ANI -/C                       025                                                         
MEGABANG DEMO (TLB)           DEM -/C NPG                    14                                                         
MEGABANG DEMO 2 (TLB)         DEM -/C                       122                                                         
MEGABLAST DEMO (TPM)          DIG -/C                       378                                                         
MERLIN MUSIC DISK 1           DIG -/C                       081                                                         
MIAMI VICE DEMO (ACN)         DIG -/C                       134                                                         
MICRO MIX DEMO                DIG -/C                       017                                                         
MICRO MIX DEMO 2              DIG -/C                       021                                                         
MICRO MIX DEMO 3              DIG -/C                       092                                                         
MILLI VANILLI DEMO            DIG -/C                       135                                                         
MINDBOMB DEMO (TLB)           DEM -/C                       080                                                         
MINI WAVE DEMO (TBB)          DEM -/C                       090                                                         
MJJ PARTY DEMO                DEM -/C                       301                                                         
MODEL (LEV.16)                DIG -/C                       119                                                         
MODULE DISK 02 RIPPED OFF     MOD -/C RIP                   058                                                         
MODULE DISK 04 RIPPED OFF     MOD -/C RIP                   070                                                         
MODULE DISK 08 RIPPED OFF     MOD -/C RIP                   094                                                         
MODULES  ( 24 DISK )          MODS -/C                      -                                                           
MONARCH DEMO                  DEM/ANI -/C                   077                                                         
MONTY PYTHON'S HOLY GRAIL     DIG -/C RIP                   059                                                         
MOVE YOUR FEET TO RHYTHM      DIG -/C                       243                                                         
MOVING LAMPS                  ANI -/C                       056                                                         
MUPPET MOVIE                  PIC -/C                       265                                                         
MUSIC INSTRUMENT SHOW 1       PIC M/-                       139                                                         
MUSIC INSTRUMENT SHOW 2       PIC M/-                       140                                                         
MUSIC PLAYER (PENDRAGONS)     MUS -/C NPG                    14                                                         
MUSICAL WONDER 1990           DEM -/C                       285                                                         
MUSICAL WONDER 1991           DEM -/C                       272                                                         
NASA DEMO DISK 1              DEMOS -/C                     -                                                           
NASA DEMO DISK 2              DEMOS -/C                     -                                                           
NASA DEMO DISK 3              DEMOS -/C                     -                                                           
NASA DEMO DISK 4              DEMOS -/C                     -                                                           
NASA DEMO DISK 5              DEMOS -/C                     -                                                           
NASA DEMO DISK 6              DEMOS -/C                     -                                                           
NASA DEMO DISK 7              DEMOS -/C                     -                                                           
NASA DEMO DISK 8              DEMOS -/C                     -                                                           
NASA SHUTTLE SHOW             DEM -/C                       110                                                         
NATO NEW YEAR DEMO            DEM -/C                       394                                                         
NAUGHTY GIRLS                 PIC -/C                       340                                                         
NENEH CHERRY (MOV)            DIG -/C                       242                                                         
NETWORK MODULE DISK 01        MODS -/C                      261                                                         
NETWORK SLIDESHOW 1.1         PIC -/C                       259                                                         
NETWORK SLIDESHOW 2.0         PIC -/C                       260                                                         
NETWORK SLIDESHOW 3           PIC -/C                       348                                                         
NETWORK SLIDESHOW 4           PIC -/C                       392                                                         
NEW STREAM DEMO (CYBERNETICS) DEM -/C                       382                                                         
NEW YEAR DEMO (ULM)           DEM -/C                       165                                                         
NEW YEARS INTRO REPLICANTS    DEM -/C                       065                                                         
NEXT CHARTS DEMO 2            DEM -/C                       282                                                         
NEXT OFFICIAL CHARTS COM.1990 DEM -/C                       290                                                         
NO LIMIT COMPIL 2             INTROS -/C                    397                                                         
NOISE TRACKER 1.5             DEM -/C                       117                                                         
NORWEGAIN DEMO COL. 1         DEM -/C                       214                                                         
NPG DCD 001                   DEMOS -/C                     -                                                           
NPG DCD 002                   DEMOS -/C                     -                                                           
NPG DCD 003                   DEMOS -/C                     -                                                           
NPG DCD 004                   DEMOS -/C                     -                                                           
NPG DCD 005 (NOT 100%)        DEMOS -/C                     -                                                           
NPG DCD 006                   DEMOS -/C                     -                                                           
NPG DCD 007                   DEMOS -/C                     -                                                           
NPG DCD 008 (NOT 100%)        DEMOS                         -                                                           
NPG DCD 009                   DEMOS -/C                     -                                                           
NPG DCD 010                   DEMOS -/C                     -                                                           
NPG DCD 011                   DEMOS -/C                     -                                                           
NPG DCD 012                   DEMOS -/C                     -                                                           
NPG DCD 013                   DEMOS -/C                     -                                                           
NPG DCD 014                   DEMOS -/C                     -                                                           
NPG DCD 015                   DEMOS -/C                     -                                                           
NPG DCD 016                   INTROS -/C                    -                                                           
NPG DCD 017                   DEMOS -/C                     -                                                           
NPG DCD 018                   DEMOS -/C                     -                                                           
NPG DCD 019                   PREVIEUW'S                    -                                                           
NPG DCD 020                   DEMOS -/C                     -                                                           
NPG DCD 021                   DEMOS -/C                     -                                                           
NPG DCD 022                   DEMOS -/C                     -                                                           
NPG DCD 023                   DEMOS -/C                     -                                                           
NPG DCD 024                   DEMOS -/C                     -                                                           
NPG DCD 025                   DEMOS -/C                     -                                                           
NPG DCD 030                   DEMOS -/C                     -                                                           
NPG DCD 031                   DEMOS -/C                     -                                                           
NPG MFTM VOL.2                DEM -/C                       256                                                         
NPG MFTM VOL.3                DEM -/C                       281                                                         
NPG MFTM VOL.5                DEM -/C                       325                                                         
NTM DEMO (ZUUL)               DEM -/C 2D                    407                                                         
NUDESHOW 1                    PIC -/C                       307                                                         
NUDESHOW 2                    PIC -/C                       308 

