UPDATE DEMO LIST

     This is updata of VIGO'S demolist, all the demo are collected by: 
                      
                            THE D.B.A. members.

MASTERFUL DEMO (BITCHIN BOYS) DEM -/C                       401 
STAX DCD 17                   DEMOS -/C                     524                                                         
STAX DCD 18                   DEMOS -/C                     525                                                         
STAX DCD 19                   DEMOS -/C                     526                                                         
ANARCHY DCD 14                DEMOS -/C                     527                                                         
ANARCHY DCD 16                DEMOS -/C                     528                                                         
TSB COMPIL 13                 INTROS -/C                    529                                                         
IVOR BIGGUN DEMO (E. PLANKTON)DIGI -/C                      530                                                         
IMPACT NICE FONTS DISK 2      FONTS -/C                     531                                                         
IMPACT MODULE CD 4            MODS -/C                      532                                                         
UNTOUCHABLE'S SOURCE DISK 1   SOURCE -/C                    533                                                         
BIRD MAD GIRL SHOW (NOT 100%) DEM -/C                       534                                                         
FLY TECH DEMO (TSK)           DIGI -/C                      535                                                         
STAX DCD 23                   DEMOS -/C                     536                                                         
STAX DCD 24                   DEMOS -/C                     537                                                         
STAX DCD 26                   DEMOS -/C                     538                                                         
LIGHT SPEED DEMO (UNT)        DEM -/C                       539                                                         
BATMAN FILM DEMO              DEM -/C 3D                    540                                                         
SEX MISSION (SFX)             DEM -/C 2D                    543                                                         
ANIMAL MINE G.S.C. 37         INTROS -/C                    545                                                         
ANIMAL MINE G.S.C. 38         INTROS -/C                    546                                                         
PRELUDE DEMO (MEGA FOUR)      DEM -/C                       547                                                         
ARSE WIPE DEMO (T.S.F.M.)     DIGI -/C                      548                                                         
PLAYING WITH KNIVES (JSD)     DIGI -/C                      549                                                         
AMIGA FEVER STECKT ALLE AN    DEM -/C                       550                                                         
D.N.S. GFX DISK 10            GFX -/C                       551                                                         
D.N.S. MUSIC DISK 02          MODS -/C                      552                                                         
D.N.S. MUSIC DISK 03          MODS -/C                      553                                                         
SUPREME DEMO (U-TOS)          DEM -/C                       554                                                         
NETWORK SLIDESHOW 5           PIC -/C                       555                                                         
NETWORK MODULE DISK 03        MODS -/C                      556                                                         
STRANGER INTRO COMPIL 10      INTROS -/C                    557                                                         
MY DOG IS ENJOYING FUZION     DEM -/C                       558                                                         
DELTA FORCE GOES SVERIGE      DEM -/C                       559                                                         
EAT MY BOLLOCKS (EQUINOX)     DEM -/C                       560                                                         
DENTRO (ANIMAL MINE)          DENTRO -/C                    561                                                         
DEMENSIO (CONDEMNED)          DEM -/C                       562                                                         
FROGIES OVER...(INTRODUCTION) DEM -/C                       563                                                         
ANIMAL MINE G.S.C. 39         DEMOS -/C                     564                                                         
ANTI PC DEMO                  DEM -/C                       565                                                         
IRON DOGS MEGADEMO (PREVIEW)  DEM -/C                       566                                                         
TRONIC PDL MODULES DISK 1     MODS -/C                      567                                                         
PASSION CONTACT CD            DEM -/C                       568                                                         
STRANGER INTRO COMPIL 11      INTROS -/C                    569                                                         
SWISS MEGADEMO                DEM -/C                       570                                                         
WET DREAMS 02 (ELECTRONIC)    SPX PIC                       571                                                         
WET DREAMS 03   (IMAGES)      SPX PIC                       572                                                         
WET DREAMS 04                 SPX PIC                       573                                                         
WET DREAMS 05                 SPX PIC                       574                                                         
WET DREAMS 06                 SPX PIC                       575                                                         
WET DREAMS 07                 SPX PIC                       576                                                         
WET DREAMS 08                 SPX PIC                       577                                                         
WET DREAMS 09                 SPX PIC                       578                                                         
WET DREAMS 10                 SPX PIC                       579                                                         
WET DREAMS 11                 SPX PIC                       580                                                         
MEN ONLY (T.V.C.C.)           SPX PIC 5D                    581                                                         
PAGE 3 GIRLS                  SPC PIC 2D                    586                                                         
JUSTICE DEMO (DIGITAL JUSTICE)DEM -/C                       588                                                         
BAD STARS CD 02               DEMOS -/C                     589                                                         
MONSTER STEREO CARTRIDGE (MPH)DEM -/C                       590                                                         
R.I.P. COMPIL 05              INTROS -/C                    591
T.N.S. MUZAK DISK 10          MODS -/C                      592
T.N.S. MUZAK DISK 11          MODS -/C                      593
TOTAL APATHY GAMES ( BBC )    2 GAMES                       594

P.S. LOOK FOR A FULL SOFTWARE LIST IN ONE OF THE PREVIOUS ISSUE'S OF THE 
     D.B.A. DISKMAGAZINE'S !
